source,target,value,relationType
Napoleon,Myriel,1,a
Mlle.Baptistine,Myriel,8,b
Mme.Magloire,Myriel,10,c
Mme.Magloire,Mlle.Baptistine,6,a
CountessdeLo,Myriel,1,a
Geborand,Myriel,1,b
Champtercier,Myriel,1,c
Cravatte,Myriel,1,a
Count,Myriel,2,a
OldMan,Myriel,1,a
Valjean,Labarre,1,c
Valjean,Mme.Magloire,3,a
Valjean,Mlle.Baptistine,3,a
Valjean,Myriel,5,b
Marguerite,Valjean,1,c
Mme.deR,Valjean,1,a
Isabeau,Valjean,1,a
Gervais,Valjean,1,a
Listolier,Tholomyes,4,a
Fameuil,Tholomyes,4,b
Fameuil,Listolier,4,c
Blacheville,Tholomyes,4,a
Blacheville,Listolier,4,a
Blacheville,Fameuil,4,b
Favourite,Tholomyes,3,a
Favourite,Listolier,3,a
Favourite,Fameuil,3,a
Favourite,Blacheville,4,b
Dahlia,Tholomyes,3,c
Dahlia,Listolier,3,a
Dahlia,Fameuil,3,a
Dahlia,Blacheville,3,b
Dahlia,Favourite,5,a
Zephine,Tholomyes,3,a
Zephine,Listolier,3,a
Zephine,Fameuil,3,b
Zephine,Blacheville,3,a
Zephine,Favourite,4,b
Zephine,Dahlia,4,c
Fantine,Tholomyes,3,a
Fantine,Listolier,3,a
Fantine,Fameuil,3,a
Fantine,Blacheville,3,c
Fantine,Favourite,4,a
Fantine,Dahlia,4,a
Fantine,Zephine,4,b
Fantine,Marguerite,2,c
Fantine,Valjean,9,a
Mme.Thenardier,Fantine,2,a
Mme.Thenardier,Valjean,7,a
Thenardier,Mme.Thenardier,13,a
Thenardier,Fantine,1,a
Thenardier,Valjean,12,a
Cosette,Mme.Thenardier,4,b
Cosette,Valjean,31,a
Cosette,Tholomyes,1,b
Cosette,Thenardier,1,c
Javert,Valjean,17,a
Javert,Fantine,5,a
Javert,Thenardier,5,b
Javert,Mme.Thenardier,1,c
Javert,Cosette,1,a
Fauchelevent,Valjean,8,a
Fauchelevent,Javert,1,b
Bamatabois,Fantine,1,c
Bamatabois,Javert,1,a
Bamatabois,Valjean,2,a
Perpetue,Fantine,1,a
Simplice,Perpetue,2,c
Simplice,Valjean,3,a
Simplice,Fantine,2,a
Simplice,Javert,1,b
Scaufflaire,Valjean,1,a
Woman1,Valjean,2,b
Woman1,Javert,1,c
Judge,Valjean,3,a
Judge,Bamatabois,2,a
Champmathieu,Valjean,3,b
Champmathieu,Judge,3,c
Champmathieu,Bamatabois,2,a
Brevet,Judge,2,a
Brevet,Champmathieu,2,b
Brevet,Valjean,2,a
Brevet,Bamatabois,1,a
Chenildieu,Judge,2,a
Chenildieu,Champmathieu,2,b
Chenildieu,Brevet,2,c
Chenildieu,Valjean,2,a
Chenildieu,Bamatabois,1,a
Cochepaille,Judge,2,b
Cochepaille,Champmathieu,2,a
Cochepaille,Brevet,2,b
Cochepaille,Chenildieu,2,a
Cochepaille,Valjean,2,a
Cochepaille,Bamatabois,1,a
Pontmercy,Thenardier,1,b
Boulatruelle,Thenardier,1,c
Eponine,Mme.Thenardier,2,a
Eponine,Thenardier,3,a
Anzelma,Eponine,2,b
Anzelma,Thenardier,2,c
Anzelma,Mme.Thenardier,1,a
Woman2,Valjean,3,a
Woman2,Cosette,1,b
Woman2,Javert,1,a
MotherInnocent,Fauchelevent,3,a
MotherInnocent,Valjean,1,a
Gribier,Fauchelevent,2,b
Mme.Burgon,Jondrette,1,a
Gavroche,Mme.Burgon,2,b
Gavroche,Thenardier,1,c
Gavroche,Javert,1,a
Gavroche,Valjean,1,a
Gillenormand,Cosette,3,a
Gillenormand,Valjean,2,c
Magnon,Gillenormand,1,a
Magnon,Mme.Thenardier,1,a
Mlle.Gillenormand,Gillenormand,9,b
Mlle.Gillenormand,Cosette,2,c
Mlle.Gillenormand,Valjean,2,a
Mme.Pontmercy,Mlle.Gillenormand,1,a
Mme.Pontmercy,Pontmercy,1,b
Mlle.Vaubois,Mlle.Gillenormand,1,a
Lt.Gillenormand,Mlle.Gillenormand,2,a
Lt.Gillenormand,Gillenormand,1,a
Lt.Gillenormand,Cosette,1,b
Marius,Mlle.Gillenormand,6,a
Marius,Gillenormand,12,b
Marius,Pontmercy,1,c
Marius,Lt.Gillenormand,1,a
Marius,Cosette,21,a
Marius,Valjean,19,b
Marius,Tholomyes,1,c
Marius,Thenardier,2,a
Marius,Eponine,5,a
Marius,Gavroche,4,b
BaronessT,Gillenormand,1,c
BaronessT,Marius,1,a
Mabeuf,Marius,1,a
Mabeuf,Eponine,1,b
Mabeuf,Gavroche,1,c
Enjolras,Marius,7,a
Enjolras,Gavroche,7,a
Enjolras,Javert,6,a
Enjolras,Mabeuf,1,a
Enjolras,Valjean,4,b
Combeferre,Enjolras,15,c
Combeferre,Marius,5,a
Combeferre,Gavroche,6,a
Combeferre,Mabeuf,2,b
Prouvaire,Gavroche,1,c
Prouvaire,Enjolras,4,a
Prouvaire,Combeferre,2,a
Feuilly,Gavroche,2,b
Feuilly,Enjolras,6,c
Feuilly,Prouvaire,2,a
Feuilly,Combeferre,5,a
Feuilly,Mabeuf,1,b
Feuilly,Marius,1,c
Courfeyrac,Marius,9,a
Courfeyrac,Enjolras,17,a
Courfeyrac,Combeferre,13,b
Courfeyrac,Gavroche,7,a
Courfeyrac,Mabeuf,2,b
Courfeyrac,Eponine,1,c
Courfeyrac,Feuilly,6,a
Courfeyrac,Prouvaire,3,a
Bahorel,Combeferre,5,b
Bahorel,Gavroche,5,c
Bahorel,Courfeyrac,6,a
Bahorel,Mabeuf,2,a
Bahorel,Enjolras,4,b
Bahorel,Feuilly,3,c
Bahorel,Prouvaire,2,a
Bahorel,Marius,1,a
Bossuet,Marius,5,a
Bossuet,Courfeyrac,12,c
Bossuet,Gavroche,5,a
Bossuet,Bahorel,4,a
Bossuet,Enjolras,10,a
Bossuet,Feuilly,6,a
Bossuet,Prouvaire,2,a
Bossuet,Combeferre,9,c
Bossuet,Mabeuf,1,a
Bossuet,Valjean,1,a
Joly,Bahorel,5,b
Joly,Bossuet,7,c
Joly,Gavroche,3,a
Joly,Courfeyrac,5,a
Joly,Enjolras,5,b
Joly,Feuilly,5,c
Joly,Prouvaire,2,a
Joly,Combeferre,5,a
Joly,Mabeuf,1,b
Joly,Marius,2,c
Grantaire,Bossuet,3,a
Grantaire,Enjolras,3,a
Grantaire,Combeferre,1,b
Grantaire,Courfeyrac,2,a
Grantaire,Joly,2,b
Grantaire,Gavroche,1,c
Grantaire,Bahorel,1,a
Grantaire,Feuilly,1,a
Grantaire,Prouvaire,1,b
MotherPlutarch,Mabeuf,3,c
Gueulemer,Thenardier,5,a
Gueulemer,Valjean,1,a
Gueulemer,Mme.Thenardier,1,b
Gueulemer,Javert,1,c
Gueulemer,Gavroche,1,a
Gueulemer,Eponine,1,a
Babet,Thenardier,6,b
Babet,Gueulemer,6,a
Babet,Valjean,1,a
Babet,Mme.Thenardier,1,a
Babet,Javert,2,b
Babet,Gavroche,1,a
Babet,Eponine,1,b
Claquesous,Thenardier,4,c
Claquesous,Babet,4,a
Claquesous,Gueulemer,4,a
Claquesous,Valjean,1,b
Claquesous,Mme.Thenardier,1,c
Claquesous,Javert,1,a
Claquesous,Eponine,1,a
Claquesous,Enjolras,1,b
Montparnasse,Javert,1,c
Montparnasse,Babet,2,a
Montparnasse,Gueulemer,2,a
Montparnasse,Claquesous,2,b
Montparnasse,Valjean,1,a
Montparnasse,Gavroche,1,a
Montparnasse,Eponine,1,a
Montparnasse,Thenardier,1,b
Toussaint,Cosette,2,a
Toussaint,Javert,1,b
Toussaint,Valjean,1,c
Child1,Gavroche,2,a
Child2,Gavroche,2,a
Child2,Child1,3,a
Brujon,Babet,3,c
Brujon,Gueulemer,3,a
Brujon,Thenardier,3,a
Brujon,Gavroche,1,b
Brujon,Eponine,1,c
Brujon,Claquesous,1,a
Brujon,Montparnasse,1,a
Mme.Hucheloup,Bossuet,1,b
Mme.Hucheloup,Joly,1,a
Mme.Hucheloup,Grantaire,1,a
Mme.Hucheloup,Bahorel,1,a
Mme.Hucheloup,Courfeyrac,1,b
Mme.Hucheloup,Gavroche,1,a
Mme.Hucheloup,Enjolras,1,b