id,dateStart,dateEnd
Myriel,1815,1876
Napoleon,1710,1760
Mlle.Baptistine,1830,1873
Mme.Magloire,1833,1874
CountessdeLo,1850,1920
Geborand,1805,1837
Champtercier,1746,1799
Cravatte,1789,1832
Count,1862,1901
OldMan,1820,1867
Labarre,1879,1929
Valjean,1900,1974
Marguerite,1705,1740
Mme.deR,1788,1827
Isabeau,1800,1878
Gervais,1860,1901
Tholomyes,1690,1734
Listolier,1695,1765
Fameuil,1722,1756
Blacheville,1735,1770
Favourite,1754,1803
Dahlia,1780,1834
Zephine,1875,1924
Fantine,1836,1892
Mme.Thenardier,1782,1858
Thenardier,1835,1904
Cosette,1743,1792
Javert,1661,1737
Fauchelevent,1763,1840
Bamatabois,1871,1905
Perpetue,1799,1867
Simplice,1723,1783
Scaufflaire,1848,1926
Woman1,1824,1883
Judge,1686,1745
Champmathieu,1831,1883
Brevet,1865,1937
Chenildieu,1748,1795
Cochepaille,1764,1843
Pontmercy,1664,1738
Boulatruelle,1799,1864
Eponine,1754,1809
Anzelma,1699,1740
Woman2,1715,1752
MotherInnocent,1701,1737
Gribier,1690,1768
Jondrette,1807,1843
Mme.Burgon,1818,1853
Gavroche,1786,1824
Gillenormand,1784,1853
Magnon,1862,1931
Mlle.Gillenormand,1759,1825
Mme.Pontmercy,1662,1717
Mlle.Vaubois,1763,1794
Lt.Gillenormand,1744,1793
Marius,1842,1883
BaronessT,1860,1936
Mabeuf,1660,1706
Enjolras,1725,1776
Combeferre,1703,1764
Prouvaire,1771,1807
Feuilly,1692,1748
Courfeyrac,1863,1937
Bahorel,1870,1902
Bossuet,1849,1902
Joly,1794,1837
Grantaire,1726,1800
MotherPlutarch,1765,1817
Gueulemer,1703,1753
Babet,1792,1862
Claquesous,1785,1853
Montparnasse,1699,1761
Toussaint,1853,1884
Child1,1692,1743
Child2,1745,1797
Brujon,1817,1859
Mme.Hucheloup,1694,1757